step,R0.7,R0.6
788.0,0.74,0.71
789.0,0.74,0.73
790.0,0.73,0.72
791.0,0.74,0.72
792.0,0.73,0.72
793.0,0.74,0.72
794.0,0.74,0.71
795.0,0.74,0.73
796.0,0.74,0.71
797.0,0.73,0.72
798.0,0.74,0.71
799.0,0.74,0.72
800.0,0.74,0.71
801.0,0.74,0.72
802.0,0.73,0.72
803.0,0.74,0.73
804.0,0.74,0.71
805.0,0.73,0.72
806.0,0.74,0.71
807.0,0.73,0.73
808.0,0.74,0.71
809.0,0.74,0.72
810.0,0.74,0.71
811.0,0.73,0.73
812.0,0.74,0.72
813.0,0.74,0.73
814.0,0.73,0.72
815.0,0.74,0.73
816.0,0.74,0.72
817.0,0.73,0.72
818.0,0.74,0.71
819.0,0.74,0.73
820.0,0.74,0.71
821.0,0.74,0.73
822.0,0.74,0.72
823.0,0.73,0.73
824.0,0.73,0.71
825.0,0.74,0.73
826.0,0.74,0.72
827.0,0.73,0.73
828.0,0.74,0.72
829.0,0.73,0.73
830.0,0.74,0.72
831.0,0.74,0.73
832.0,0.73,0.71
833.0,0.73,0.73
834.0,0.73,0.72
835.0,0.74,0.72
836.0,0.73,0.71
837.0,0.74,0.73
838.0,0.74,0.71
839.0,0.74,0.72
840.0,0.74,0.72
841.0,0.73,0.72
842.0,0.73,0.72
843.0,0.74,0.72
844.0,0.74,0.72
845.0,0.74,0.72
846.0,0.74,0.71
847.0,0.74,0.73
848.0,0.74,0.72
849.0,0.74,0.73
850.0,0.73,0.72
851.0,0.74,0.73
852.0,0.74,0.72
853.0,0.73,0.73
854.0,0.73,0.71
855.0,0.73,0.72
856.0,0.73,0.71
857.0,0.74,0.72
858.0,0.73,0.72
859.0,0.74,0.73
860.0,0.74,0.72
861.0,0.73,0.73
862.0,0.73,0.72
863.0,0.73,0.73
864.0,0.73,0.72
865.0,0.73,0.72
866.0,0.73,0.71
867.0,0.73,0.72
868.0,0.73,0.72
869.0,0.73,0.73
870.0,0.74,0.71
871.0,0.73,0.73
872.0,0.73,0.71
873.0,0.73,0.72
874.0,0.74,0.72
875.0,0.73,0.72
876.0,0.73,0.71
877.0,0.74,0.73
878.0,0.74,0.72
879.0,0.73,0.73
880.0,0.73,0.72
881.0,0.74,0.73
882.0,0.74,0.72
883.0,0.74,0.73
884.0,0.73,0.72
885.0,0.74,0.73
886.0,0.73,0.72
887.0,0.73,0.73
888.0,0.73,0.71
889.0,0.73,0.72
890.0,0.74,0.72
891.0,0.74,0.73
892.0,0.74,0.71
893.0,0.74,0.73
894.0,0.73,0.71
