step,R1.0,R0.9,R0.8
413.0,0.73,0.83,0.76
414.0,0.73,0.81,0.81
415.0,0.74,0.78,0.78
416.0,0.73,0.77,0.77
417.0,0.73,0.76,0.8
418.0,0.74,0.77,0.75
419.0,0.74,0.81,0.79
420.0,0.73,0.81,0.78
421.0,0.73,0.83,0.82
422.0,0.72,0.81,0.76
423.0,0.72,0.82,0.79
424.0,0.74,0.81,0.77
425.0,0.73,0.81,0.8
426.0,0.74,0.8,0.76
427.0,0.74,0.8,0.78
428.0,0.75,0.81,0.76
429.0,0.74,0.83,0.78
430.0,0.74,0.81,0.78
431.0,0.73,0.84,0.8
432.0,0.73,0.82,0.78
433.0,0.73,0.82,0.76
434.0,0.74,0.83,0.77
435.0,0.76,0.81,0.77
436.0,0.74,0.82,0.8
437.0,0.74,0.81,0.76
438.0,0.76,0.82,0.79
439.0,0.75,0.84,0.77
440.0,0.77,0.85,0.78
441.0,0.76,0.84,0.76
442.0,0.73,0.83,0.78
443.0,0.75,0.85,0.77
444.0,0.77,0.83,0.79
445.0,0.76,0.83,0.77
446.0,0.75,0.87,0.79
447.0,0.74,0.83,0.77
448.0,0.74,0.86,0.77
449.0,0.75,0.88,0.77
450.0,0.74,0.85,0.77
451.0,0.75,0.86,0.77
452.0,0.75,0.87,0.79
453.0,0.76,0.84,0.78
454.0,0.74,0.85,0.79
455.0,0.75,0.85,0.79
456.0,0.75,0.81,0.8
457.0,0.75,0.84,0.74
458.0,0.74,0.84,0.8
459.0,0.75,0.82,0.78
460.0,0.74,0.81,0.76
461.0,0.74,0.82,0.83
462.0,0.74,0.81,0.78
463.0,0.73,0.86,0.8
464.0,0.75,0.8,0.8
465.0,0.76,0.83,0.75
466.0,0.75,0.79,0.78
467.0,0.75,0.84,0.8
468.0,0.76,0.77,0.8
469.0,0.75,0.79,0.77
470.0,0.74,0.82,0.79
471.0,0.74,0.81,0.79
472.0,0.76,0.81,0.78
473.0,0.77,0.83,0.79
474.0,0.77,0.78,0.8
475.0,0.76,0.81,0.84
476.0,0.76,0.83,0.8
477.0,0.74,0.8,0.83
478.0,0.75,0.79,0.78
479.0,0.75,0.79,0.84
480.0,0.74,0.79,0.83
481.0,0.75,0.78,0.81
482.0,0.76,0.8,0.81
483.0,0.75,0.78,0.79
484.0,0.75,0.79,0.82
485.0,0.74,0.8,0.81
486.0,0.75,0.76,0.8
487.0,0.73,0.81,0.82
488.0,0.73,0.76,0.82
489.0,0.76,0.77,0.81
490.0,0.76,0.78,0.82
491.0,0.75,0.81,0.81
492.0,0.76,0.81,0.83
493.0,0.76,0.81,0.81
494.0,0.74,0.79,0.82
495.0,0.77,0.8,0.81
496.0,0.75,0.77,0.83
497.0,0.75,0.79,0.78
498.0,0.76,0.79,0.82
499.0,0.76,0.78,0.82
500.0,0.76,0.77,0.81
501.0,0.76,0.79,0.8
502.0,0.77,0.79,0.82
503.0,0.77,0.81,0.78
504.0,0.77,0.78,0.82
505.0,0.77,0.8,0.77
506.0,0.76,0.79,0.8
507.0,0.77,0.8,0.79
508.0,0.77,0.78,0.8
509.0,0.76,0.79,0.82
510.0,0.76,0.79,0.78
511.0,0.75,0.79,0.81
512.0,0.75,0.79,0.81
513.0,0.76,0.82,0.79
514.0,0.75,0.76,0.84
515.0,0.76,0.75,0.81
516.0,0.75,0.75,0.81
517.0,0.76,0.81,0.81
518.0,0.76,0.77,0.79
519.0,0.76,0.78,0.79
520.0,0.76,0.74,0.81
521.0,0.76,0.77,0.79
522.0,0.76,0.76,0.81
523.0,0.76,0.76,0.81
524.0,0.77,0.79,0.81
525.0,0.77,0.76,0.83
526.0,0.77,0.79,0.78
527.0,0.77,0.77,0.8
528.0,0.77,0.8,0.82
529.0,0.76,0.75,0.78
530.0,0.77,0.76,0.78
531.0,0.77,0.77,0.78
532.0,0.77,0.8,0.8
533.0,0.77,0.76,0.78
534.0,0.77,0.79,0.78
535.0,0.77,0.76,0.81
536.0,0.76,0.78,0.78
537.0,0.76,0.74,0.82
538.0,0.77,0.78,0.79
539.0,0.77,0.79,0.84
540.0,0.76,0.77,0.8
541.0,0.76,0.77,0.81
542.0,0.76,0.78,0.82
543.0,0.76,0.78,0.78
544.0,0.76,0.77,0.83
545.0,0.77,0.78,0.8
546.0,0.77,0.76,0.83
547.0,0.76,0.78,0.79
548.0,0.76,0.77,0.83
549.0,0.76,0.79,0.8
550.0,0.76,0.78,0.8
551.0,0.76,0.78,0.79
552.0,0.76,0.8,0.84
553.0,0.76,0.78,0.76
554.0,0.76,0.78,0.83
555.0,0.76,0.78,0.76
556.0,0.76,0.77,0.81
557.0,0.77,0.76,0.77
558.0,0.76,0.81,0.81
559.0,0.76,0.77,0.77
560.0,0.75,0.79,0.81
561.0,0.76,0.78,0.79
562.0,0.77,0.78,0.78
563.0,0.76,0.78,0.76
564.0,0.76,0.79,0.8
565.0,0.76,0.79,0.77
566.0,0.76,0.8,0.78
567.0,0.76,0.83,0.79
568.0,0.77,0.79,0.75
569.0,0.77,0.81,0.78
570.0,0.77,0.77,0.76
571.0,0.77,0.76,0.78
572.0,0.76,0.78,0.8
573.0,0.77,0.8,0.77
574.0,0.77,0.78,0.82
575.0,0.77,0.79,0.79
576.0,0.77,0.78,0.8
577.0,0.76,0.75,0.76
578.0,0.76,0.75,0.81
579.0,0.76,0.8,0.75
580.0,0.76,0.75,0.78
581.0,0.76,0.79,0.78
582.0,0.77,0.75,0.78
583.0,0.78,0.79,0.81
584.0,0.78,0.77,0.81
585.0,0.78,0.8,0.79
586.0,0.77,0.78,0.83
587.0,0.77,0.8,0.79
588.0,0.77,0.79,0.84
589.0,0.77,0.76,0.79
590.0,0.77,0.8,0.81
591.0,0.77,0.77,0.77
592.0,0.77,0.78,0.77
593.0,0.77,0.79,0.79
594.0,0.77,0.77,0.79
595.0,0.77,0.77,0.81
596.0,0.76,0.76,0.79
597.0,0.77,0.81,0.83
598.0,0.77,0.79,0.79
599.0,0.77,0.77,0.83
600.0,0.78,0.78,0.78
601.0,0.78,0.77,0.84
602.0,0.78,0.77,0.79
603.0,0.77,0.8,0.8
604.0,0.77,0.78,0.82
605.0,0.77,0.82,0.8
606.0,0.76,0.77,0.79
607.0,0.77,0.81,0.81
608.0,0.77,0.76,0.76
609.0,0.76,0.78,0.78
610.0,0.76,0.77,0.78
611.0,0.76,0.8,0.78
612.0,0.76,0.8,0.79
613.0,0.76,0.79,0.8
614.0,0.76,0.8,0.78
615.0,0.76,0.77,0.78
616.0,0.76,0.78,0.8
617.0,0.76,0.8,0.81
618.0,0.76,0.77,0.77
619.0,0.76,0.79,0.81
620.0,0.77,0.79,0.78
621.0,0.77,0.79,0.8
622.0,0.76,0.79,0.79
623.0,0.76,0.78,0.8
624.0,0.76,0.79,0.78
625.0,0.76,0.78,0.79
626.0,0.76,0.77,0.81
627.0,0.76,0.77,0.78
628.0,0.76,0.78,0.82
629.0,0.76,0.8,0.79
630.0,0.76,0.75,0.8
631.0,0.76,0.77,0.79
632.0,0.76,0.81,0.78
633.0,0.76,0.84,0.79
634.0,0.76,0.8,0.78
635.0,0.76,0.79,0.81
636.0,0.76,0.82,0.78
637.0,0.76,0.78,0.79
638.0,0.76,0.78,0.8
639.0,0.76,0.82,0.78
640.0,0.76,0.79,0.78
641.0,0.76,0.79,0.77
642.0,0.76,0.82,0.8
643.0,0.76,0.79,0.8
644.0,0.76,0.78,0.79
645.0,0.76,0.79,0.81
646.0,0.76,0.81,0.79
647.0,0.76,0.8,0.83
648.0,0.76,0.82,0.76
649.0,0.76,0.78,0.82
650.0,0.76,0.78,0.79
651.0,0.76,0.8,0.82
652.0,0.76,0.77,0.76
653.0,0.76,0.8,0.8
654.0,0.76,0.81,0.8
655.0,0.76,0.78,0.81
656.0,0.76,0.79,0.8
657.0,0.76,0.78,0.81
658.0,0.76,0.82,0.82
659.0,0.76,0.8,0.78
660.0,0.76,0.79,0.78
661.0,0.76,0.8,0.82
662.0,0.76,0.83,0.81
663.0,0.76,0.77,0.81
664.0,0.76,0.81,0.81
665.0,0.76,0.79,0.82
666.0,0.76,0.8,0.81
667.0,0.76,0.79,0.82
668.0,0.76,0.77,0.81
669.0,0.76,0.79,0.81
670.0,0.76,0.77,0.78
671.0,0.76,0.82,0.79
672.0,0.76,0.77,0.79
673.0,0.76,0.81,0.8
674.0,0.76,0.78,0.78
675.0,0.76,0.79,0.8
676.0,0.76,0.78,0.8
677.0,0.76,0.8,0.82
678.0,0.76,0.79,0.8
679.0,0.76,0.82,0.8
680.0,0.76,0.81,0.8
681.0,0.76,0.82,0.8
682.0,0.76,0.78,0.8
683.0,0.76,0.81,0.8
684.0,0.76,0.78,0.82
685.0,0.75,0.78,0.83
686.0,0.76,0.81,0.83
687.0,0.76,0.78,0.82
688.0,0.76,0.8,0.84
689.0,0.76,0.77,0.79
690.0,0.76,0.77,0.84
691.0,0.76,0.79,0.8
692.0,0.76,0.76,0.85
693.0,0.76,0.8,0.8
694.0,0.76,0.77,0.84
695.0,0.77,0.79,0.77
696.0,0.77,0.77,0.83
697.0,0.77,0.8,0.81
698.0,0.77,0.79,0.8
699.0,0.77,0.8,0.8
700.0,0.77,0.78,0.78
701.0,0.77,0.78,0.78
702.0,0.77,0.79,0.8
703.0,0.76,0.77,0.81
704.0,0.76,0.8,0.83
705.0,0.76,0.79,0.8
706.0,0.77,0.78,0.77
707.0,0.77,0.79,0.81
708.0,0.77,0.77,0.81
709.0,0.77,0.8,0.79
710.0,0.77,0.8,0.77
711.0,0.77,0.8,0.78
712.0,0.77,0.82,0.77
713.0,0.77,0.8,0.79
714.0,0.77,0.81,0.76
715.0,0.77,0.79,0.8
716.0,0.77,0.8,0.77
717.0,0.77,0.79,0.79
718.0,0.77,0.8,0.79
719.0,0.77,0.81,0.76
720.0,0.77,0.82,0.79
721.0,0.77,0.79,0.76
722.0,0.77,0.81,0.8
723.0,0.77,0.81,0.78
724.0,0.77,0.8,0.81
725.0,0.77,0.8,0.78
726.0,0.77,0.8,0.77
727.0,0.77,0.81,0.79
728.0,0.77,0.82,0.79
729.0,0.77,0.8,0.77
730.0,0.77,0.8,0.77
731.0,0.77,0.83,0.79
732.0,0.76,0.8,0.8
733.0,0.76,0.82,0.79
734.0,0.76,0.79,0.79
735.0,0.76,0.81,0.78
736.0,0.76,0.81,0.79
737.0,0.76,0.83,0.81
738.0,0.77,0.8,0.79
739.0,0.76,0.83,0.8
740.0,0.76,0.81,0.79
741.0,0.76,0.84,0.81
742.0,0.76,0.81,0.79
743.0,0.76,0.81,0.79
744.0,0.76,0.82,0.8
745.0,0.76,0.82,0.82
746.0,0.76,0.85,0.82
747.0,0.76,0.79,0.78
748.0,0.76,0.82,0.81
749.0,0.76,0.8,0.79
750.0,0.76,0.82,0.81
751.0,0.76,0.82,0.78
752.0,0.76,0.81,0.8
753.0,0.76,0.81,0.79
754.0,0.76,0.81,0.8
755.0,0.76,0.82,0.8
756.0,0.76,0.82,0.81
757.0,0.76,0.78,0.79
