step,R1.0,R0.9,R0.8,R0.7,R0.6,R0.5
215.0,0.62,0.74,0.8,0.79,0.77,0.7
216.0,0.64,0.79,0.75,0.76,0.79,0.72
217.0,0.61,0.77,0.79,0.74,0.78,0.7
218.0,0.7,0.8,0.8,0.77,0.78,0.71
219.0,0.65,0.76,0.76,0.8,0.76,0.72
220.0,0.67,0.73,0.77,0.77,0.78,0.71
221.0,0.6,0.73,0.76,0.77,0.76,0.71
222.0,0.58,0.8,0.79,0.75,0.75,0.71
223.0,0.62,0.79,0.75,0.77,0.75,0.71
224.0,0.64,0.78,0.75,0.77,0.76,0.72
225.0,0.62,0.74,0.78,0.8,0.76,0.71
226.0,0.61,0.8,0.77,0.74,0.77,0.72
227.0,0.71,0.77,0.77,0.76,0.78,0.7
228.0,0.62,0.8,0.76,0.75,0.75,0.71
229.0,0.66,0.75,0.77,0.79,0.77,0.71
230.0,0.71,0.77,0.79,0.8,0.76,0.71
231.0,0.65,0.79,0.78,0.77,0.79,0.7
232.0,0.68,0.8,0.78,0.8,0.78,0.7
233.0,0.66,0.79,0.79,0.81,0.78,0.7
234.0,0.69,0.77,0.79,0.77,0.76,0.69
235.0,0.67,0.78,0.8,0.8,0.76,0.7
236.0,0.68,0.83,0.78,0.74,0.76,0.7
237.0,0.74,0.77,0.8,0.79,0.77,0.7
238.0,0.72,0.75,0.79,0.76,0.75,0.7
239.0,0.71,0.77,0.79,0.76,0.76,0.71
240.0,0.72,0.78,0.8,0.75,0.77,0.71
241.0,0.7,0.8,0.77,0.76,0.77,0.68
242.0,0.67,0.75,0.76,0.74,0.77,0.71
243.0,0.69,0.8,0.8,0.78,0.74,0.69
244.0,0.69,0.81,0.72,0.76,0.77,0.7
245.0,0.7,0.75,0.82,0.77,0.74,0.71
246.0,0.66,0.8,0.74,0.73,0.75,0.7
247.0,0.68,0.72,0.79,0.76,0.75,0.69
248.0,0.68,0.77,0.77,0.77,0.77,0.7
249.0,0.75,0.78,0.77,0.75,0.74,0.71
250.0,0.7,0.79,0.74,0.78,0.76,0.7
251.0,0.71,0.8,0.78,0.73,0.74,0.69
252.0,0.7,0.83,0.76,0.8,0.76,0.72
253.0,0.69,0.81,0.74,0.75,0.73,0.69
254.0,0.69,0.84,0.81,0.79,0.75,0.69
255.0,0.68,0.77,0.77,0.74,0.73,0.69
256.0,0.64,0.8,0.79,0.77,0.76,0.69
257.0,0.66,0.78,0.79,0.73,0.74,0.7
258.0,0.68,0.8,0.8,0.77,0.8,0.69
259.0,0.71,0.8,0.81,0.77,0.77,0.7
260.0,0.69,0.81,0.77,0.78,0.78,0.7
261.0,0.69,0.79,0.82,0.77,0.77,0.71
262.0,0.68,0.79,0.79,0.75,0.8,0.69
263.0,0.68,0.82,0.82,0.76,0.77,0.7
264.0,0.66,0.79,0.77,0.76,0.77,0.71
265.0,0.69,0.81,0.78,0.75,0.77,0.7
266.0,0.68,0.79,0.79,0.75,0.77,0.7
267.0,0.69,0.78,0.75,0.77,0.77,0.69
268.0,0.69,0.82,0.81,0.75,0.78,0.73
269.0,0.69,0.76,0.79,0.77,0.74,0.69
270.0,0.68,0.72,0.78,0.76,0.77,0.7
271.0,0.66,0.79,0.76,0.74,0.77,0.69
272.0,0.68,0.78,0.81,0.81,0.76,0.71
273.0,0.68,0.76,0.8,0.73,0.76,0.71
274.0,0.72,0.82,0.8,0.77,0.77,0.7
275.0,0.7,0.75,0.82,0.74,0.76,0.7
276.0,0.71,0.78,0.78,0.78,0.79,0.7
277.0,0.71,0.82,0.8,0.73,0.79,0.69
278.0,0.68,0.78,0.8,0.75,0.77,0.71
279.0,0.65,0.78,0.8,0.77,0.78,0.7
280.0,0.68,0.78,0.81,0.74,0.76,0.72
281.0,0.71,0.82,0.79,0.76,0.77,0.69
282.0,0.69,0.78,0.8,0.75,0.76,0.69
283.0,0.68,0.78,0.8,0.74,0.79,0.7
284.0,0.66,0.84,0.77,0.75,0.77,0.69
285.0,0.69,0.8,0.79,0.76,0.78,0.71
286.0,0.67,0.8,0.8,0.73,0.79,0.71
287.0,0.65,0.75,0.78,0.74,0.77,0.71
288.0,0.65,0.78,0.82,0.74,0.78,0.7
289.0,0.62,0.76,0.84,0.72,0.78,0.71
290.0,0.68,0.78,0.81,0.71,0.78,0.7
291.0,0.7,0.74,0.8,0.72,0.77,0.71
292.0,0.67,0.83,0.82,0.73,0.77,0.71
293.0,0.63,0.81,0.82,0.74,0.78,0.71
294.0,0.69,0.77,0.83,0.77,0.78,0.69
295.0,0.67,0.81,0.81,0.76,0.77,0.71
296.0,0.67,0.73,0.81,0.77,0.77,0.7
297.0,0.64,0.75,0.78,0.76,0.77,0.7
298.0,0.69,0.75,0.76,0.79,0.76,0.69
299.0,0.66,0.74,0.76,0.75,0.78,0.7
300.0,0.64,0.79,0.77,0.73,0.77,0.72
301.0,0.66,0.76,0.75,0.74,0.77,0.69
302.0,0.71,0.75,0.82,0.76,0.76,0.69
303.0,0.71,0.74,0.78,0.76,0.78,0.72
304.0,0.68,0.81,0.75,0.76,0.78,0.72
305.0,0.69,0.76,0.79,0.78,0.77,0.72
306.0,0.65,0.75,0.75,0.75,0.78,0.71
307.0,0.71,0.79,0.75,0.79,0.77,0.71
308.0,0.71,0.79,0.73,0.77,0.76,0.73
309.0,0.73,0.79,0.76,0.75,0.75,0.7
310.0,0.69,0.78,0.76,0.77,0.77,0.7
311.0,0.7,0.77,0.77,0.75,0.76,0.72
312.0,0.7,0.76,0.75,0.78,0.75,0.72
313.0,0.71,0.79,0.77,0.75,0.76,0.72
314.0,0.66,0.77,0.76,0.8,0.75,0.7
315.0,0.68,0.79,0.77,0.76,0.78,0.69
316.0,0.7,0.8,0.75,0.8,0.77,0.7
317.0,0.7,0.81,0.74,0.81,0.76,0.71
318.0,0.7,0.79,0.76,0.79,0.78,0.7
319.0,0.71,0.77,0.77,0.8,0.77,0.72
320.0,0.67,0.74,0.78,0.78,0.77,0.7
321.0,0.68,0.76,0.77,0.74,0.79,0.69
322.0,0.68,0.78,0.79,0.78,0.79,0.7
323.0,0.7,0.75,0.74,0.75,0.8,0.71
324.0,0.67,0.78,0.79,0.81,0.79,0.7
325.0,0.68,0.78,0.74,0.79,0.8,0.71
326.0,0.67,0.77,0.75,0.78,0.78,0.68
327.0,0.66,0.79,0.73,0.75,0.81,0.7
328.0,0.66,0.75,0.8,0.76,0.78,0.7
329.0,0.67,0.78,0.76,0.76,0.79,0.69
330.0,0.69,0.74,0.78,0.78,0.77,0.68
331.0,0.71,0.79,0.74,0.77,0.78,0.69
332.0,0.68,0.78,0.78,0.8,0.79,0.71
333.0,0.67,0.81,0.8,0.76,0.79,0.68
334.0,0.69,0.84,0.78,0.78,0.79,0.68
335.0,0.68,0.77,0.79,0.8,0.81,0.7
336.0,0.66,0.83,0.82,0.76,0.8,0.69
337.0,0.7,0.79,0.8,0.77,0.79,0.68
338.0,0.69,0.83,0.8,0.79,0.8,0.7
339.0,0.73,0.77,0.79,0.77,0.81,0.69
340.0,0.71,0.83,0.77,0.77,0.78,0.7
341.0,0.7,0.8,0.8,0.79,0.81,0.68
342.0,0.67,0.81,0.8,0.76,0.78,0.69
343.0,0.7,0.85,0.78,0.79,0.81,0.69
344.0,0.71,0.81,0.78,0.78,0.81,0.69
345.0,0.71,0.84,0.79,0.77,0.81,0.7
346.0,0.7,0.83,0.76,0.75,0.79,0.69
347.0,0.71,0.85,0.76,0.78,0.81,0.7
348.0,0.73,0.82,0.74,0.76,0.81,0.68
349.0,0.71,0.8,0.75,0.79,0.8,0.69
350.0,0.71,0.81,0.74,0.77,0.82,0.68
351.0,0.73,0.82,0.73,0.77,0.82,0.69
352.0,0.74,0.84,0.76,0.76,0.8,0.69
353.0,0.69,0.87,0.75,0.75,0.81,0.69
354.0,0.71,0.83,0.77,0.76,0.81,0.7
355.0,0.71,0.82,0.78,0.78,0.79,0.7
356.0,0.7,0.81,0.76,0.77,0.82,0.7
357.0,0.71,0.8,0.77,0.78,0.83,0.68
358.0,0.72,0.83,0.8,0.79,0.83,0.68
359.0,0.74,0.78,0.78,0.77,0.83,0.7
360.0,0.73,0.83,0.75,0.78,0.82,0.7
361.0,0.75,0.8,0.81,0.78,0.81,0.69
362.0,0.74,0.86,0.83,0.78,0.83,0.7
363.0,0.74,0.79,0.79,0.75,0.83,0.7
364.0,0.71,0.83,0.79,0.79,0.82,0.7
365.0,0.73,0.79,0.77,0.78,0.83,0.68
366.0,0.72,0.86,0.78,0.77,0.81,0.69
367.0,0.73,0.81,0.76,0.77,0.82,0.71
368.0,0.74,0.83,0.79,0.77,0.83,0.7
369.0,0.75,0.8,0.77,0.78,0.83,0.72
370.0,0.72,0.77,0.75,0.78,0.8,0.72
371.0,0.73,0.81,0.82,0.78,0.84,0.71
372.0,0.73,0.78,0.78,0.77,0.81,0.7
373.0,0.7,0.78,0.81,0.77,0.83,0.71
